vn	-0.010522	-0.949224	-0.314426
vn	-0.008907	-0.803545	-0.595177
vn	-0.010521	-0.949224	-0.314425
vn	-0.008907	-0.803545	-0.595177
vn	-0.006433	-0.580353	-0.81434
vn	-0.006433	-0.580353	-0.81434
vn	-0.003366	-0.303663	-0.952773
vn	-0.003366	-0.303664	-0.952773
vn	0	0	-1
vn	0	0	-1
vn	0.003365	0.303664	-0.952773
vn	0.003366	0.303664	-0.952773
vn	0.006432	0.580353	-0.814339
vn	0.006433	0.580353	-0.814339
vn	0.008907	0.803545	-0.595177
vn	0.008907	0.803546	-0.595177
vn	0.010521	0.949224	-0.314426
vn	0.010521	0.949224	-0.314427
vn	0.011084	0.999939	0.000001
vn	0.011083	0.999939	-0.000001
vn	0.010521	0.949223	0.314427
vn	0.010521	0.949223	0.314427
vn	0.008907	0.803545	0.595177
vn	0.008907	0.803545	0.595177
vn	0.006433	0.580352	0.81434
vn	0.006433	0.580352	0.81434
vn	0.003366	0.303662	0.952774
vn	0.003366	0.303662	0.952774
vn	0	0	1
vn	0	0	1
vn	-0.003366	-0.303662	0.952774
vn	-0.003366	-0.303662	0.952774
vn	-0.006433	-0.580352	0.81434
vn	-0.006433	-0.580352	0.81434
vn	-0.008907	-0.803545	0.595177
vn	-0.008907	-0.803545	0.595177
vn	-0.010521	-0.949224	0.314426
vn	-0.010522	-0.949224	0.314426
vn	-0.011084	-0.999939	0.000001
vn	-0.011084	-0.999939	0.000001
vn	-0.999939	0.011083	0
vn	-0.999939	0.011084	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011084	0
vn	-0.999939	0.011084	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011084	0
vn	-0.999939	0.011084	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
vn	-0.999939	0.011083	0
